Date,XOM/CVX,KO/PEP,JPM/BAC,HD/LOW
2025-12-12,0.8546008498459974,0.8399154137317969,0.6361563965150975,1.0139668529736239
2025-12-15,0.8613895879473924,0.8399154137317969,0.6361563965150975,0.9992650778645493
2025-12-16,0.8703884453067142,0.8399154137317969,0.6361563965150975,0.9981389976941054
2025-12-17,0.8623434191688351,0.8399154137317969,0.6361563965150975,1.0025442079300662
2025-12-18,0.8605907644430034,0.8399154137317969,0.6361563965150975,0.9987899117807316
2025-12-19,0.8597527439370243,0.8399154137317969,0.6361563965150975,1.005239081353017
2025-12-22,0.8581989023806844,0.8399154137317969,0.6361563965150975,1.001255532010082
2025-12-23,0.8521121077721258,0.8399154137317969,0.6361563965150975,0.996760810979328
2025-12-24,0.8534954489577395,0.8399154137317969,0.6361563965150975,0.9994840554075299
2025-12-26,0.8521828705480112,0.8399154137317969,0.6361563965150975,0.9992802639417707
2025-12-29,0.84627430375134,0.8399154137317969,0.6361563965150975,0.9958039502741854
2025-12-30,0.8487523575562832,0.8399154137317969,0.6361563965150975,0.9957809105401054
2025-12-31,0.8537420757959556,0.8399154137317969,0.6361563965150975,0.9990630476544949
2026-01-02,0.8524362384580785,0.8399154137317969,0.6361563965150975,0.9760728222024562
2026-01-05,0.866382589309985,0.8399154137317969,0.6348029246567091,0.9811636797587384
2026-01-06,0.866382589309985,0.8399154137317969,0.6439275896399489,0.9877682912188794
2026-01-07,0.866382589309985,0.8399154137317969,0.5996449495812124,0.9841417249221918
2026-01-08,0.866382589309985,0.8399154137317969,0.6134542420059856,0.9710695645575526
2026-01-09,0.866382589309985,0.8399154137317969,0.6028405388884461,0.9626472761685867
2026-01-12,0.866382589309985,0.8399154137317969,0.5882580652026758,0.9477889408019665
2026-01-13,0.866382589309985,0.8399154137317969,0.5903425007987263,0.9460638114178741
2026-01-14,0.866382589309985,0.8399154137317969,0.5222581042648993,0.9337750231573959
2026-01-15,0.866382589309985,0.8399154137317969,0.5222581042648993,0.9335003971236647
